species,region,grp,clade,silhouette,lambda,delta,fe,pctredbpt,pctredbl,pctredbu,redlist
Loggerhead turtle (NW Atlantic),NW Atlantic,turtle,turtle,turtle,0.98,-0.02,0.067,29.9,17.9,49.8,LC
Loggerhead turtle (NW Indian),NW Indian Ocean,turtle,turtle,turtle,0.958,-0.042,0.089,47.2,28.3,78.7,CR
Loggerhead turtle (S Pacific),S Pacific,turtle,turtle,turtle,0.964,-0.036,0.083,43.4,26,72.3,CR
Leatherback turtle (E Pacific),E Pacific,turtle,turtle,turtle,0.846,-0.154,0.334,46.1,27.7,76.8,CR
Leatherback turtle (W Pacific),W Pacific,turtle,turtle,turtle,0.927,-0.073,0.127,57.5,34.5,95.8,CR
Leatherback turtle (SW Indian),SW Indian Ocean,turtle,turtle,turtle,0.999,-0.001,0.011,9.1,5.5,15.2,CR
Olive ridley turtle (NE Indian),NE Indian Ocean,turtle,turtle,turtle,0.97,-0.03,0.078,38.5,23.1,64.1,VU
Olive ridley turtle (W Indian),W Indian Ocean,turtle,turtle,turtle,0.82,-0.18,0.14,128.6,77.1,214.3,VU
Australian sea lion,Australia,mammal,pinniped,pinniped,0.9946,-0.0054,0.026,20.8,12.5,34.6,EN
NZ sea lion,New Zealand,mammal,pinniped,pinniped,0.96,-0.04,0.067,59.7,35.8,99.5,CR
Hector's dolphin,New Zealand,mammal,cetacean,dolphin,0.986,-0.014,0.034,41.2,24.7,68.6,EN
M_ui dolphin,New Zealand,mammal,cetacean,dolphin,0.96,-0.04,0.06,66.7,40,110.1,CR
Indo-Pacific finless porpoise,Indo-Pacific,mammal,cetacean,porpoise,0.99,-0.01,0.05,20,12,33.3,VU
Narrow-ridged finless porpoise,NW Pacific,mammal,cetacean,porpoise,0.943,-0.057,0.097,58.7,35.2,97.9,VU
Indo-Pacific humpback dolphin,Indo-Pacific,mammal,cetacean,dolphin,0.994,-0.006,0.046,13,7.8,21.7,NT
Taiwanese humpback dolphin,NW Pacific,mammal,cetacean,dolphin,0.975,-0.025,0.065,38.5,23.1,64.1,CR
Vaquita porpoise,Gulf of California - Mexico,mammal,cetacean,porpoise,0.66,-0.34,0.38,89.5,53.7,149.1,CR
Sooty shearwater,"Atlantic, Pacific, S Indian Ocean, S Ocean",bird,bird,bird,0.982,-0.018,0.003,600,360,1.00E+03,NT
Tristan albatross,S Atlantic,bird,bird,bird,0.971,-0.029,0.032,90.6,54.4,151,CR
White-chinned petrel,"S Pacific, S Atlantic, S Indian, S Ocean",bird,bird,bird,0.964,-0.036,0.13,27.7,16.6,46.1,VU
