idoriglumped,marg_cost_lumped
Lumped-Cobia-FaoRegion51,11383908.482
Lumped-Indian mackerel-FaoRegion51,195033755.849
Lumped-Black pomfret-FaoRegion51,26636312.71
Lumped-Common dolphinfish-FaoRegion51,13341802.137
Lumped-False trevally-FaoRegion51,19697449.222
Lumped-Torpedo scad-FaoRegion51,11531351.502
Lumped-Flat needlefish-FaoRegion51,75097.227
Lumped-Giant trevally-FaoRegion51,67342759.278
Lumped-Golden trevally-FaoRegion51,3712144.889
Lumped-Malabar trevally-FaoRegion51,1772918.306
Lumped-Bigeye trevally-FaoRegion51,651008.911
Lumped-Bluefin trevally-FaoRegion51,86275.335
Lumped-Doublespotted queenfish-FaoRegion51,24763.874
Lumped-Great barracuda-FaoRegion51,9323997.71
Lumped-Hound needlefish-FaoRegion51,824802.059
Lumped-Indian scad-FaoRegion51,4703866.336
Lumped-Needlescaled queenfish-FaoRegion51,827299.025
Lumped-Obtuse barracuda-FaoRegion51,617976.218
Lumped-Orangespotted trevally-FaoRegion51,25381649.097
Lumped-Pickhandle barracuda-FaoRegion51,215664.557
Lumped-Shrimp scad-FaoRegion51,879751.926
Lumped-Silver pomfret-FaoRegion51,10660016.364
Lumped-Snubnose pompano-FaoRegion51,250951.882
Lumped-Talang queenfish-FaoRegion51,70287784.155
Lumped-Yellowspotted trevally-FaoRegion51,726859.317
Lumped-Yellowtail scad-FaoRegion51,5549966.774
Lumped-Chub mackerel-FaoRegion51,10230914.947
Lumped-Indian pompano-FaoRegion51,1399298.6
Lumped-African moonfish-FaoRegion34,15547853.536
Lumped-Atlantic bumper-FaoRegion34,35096853.037
Lumped-Common dolphinfish-FaoRegion34,1130521.788
Lumped-Bluefish-FaoRegion34,67258911.906
Lumped-Leerfish-FaoRegion34,9093874.259
Lumped-Atlantic pomfret-FaoRegion34,25512502.495
Lumped-Blue butterfish-FaoRegion34,44611270.365
Lumped-False scad-FaoRegion34,53628151.922
Lumped-Crevalle jack-FaoRegion34,16974202.732
Lumped-Rainbow runner-FaoRegion34,123680.123
Lumped-Alexandria pompano-FaoRegion34,3055763.103
Lumped-Bluefish-FaoRegion37,95732757.836
Lumped-Chub mackerel-FaoRegion37,181759648.307
Lumped-Garfish-FaoRegion37,21312874.264
Lumped-Mediterranean horse mackerel-FaoRegion37,62999437.014
Lumped-Big-scale sand smelt-FaoRegion37,16993552.781
Lumped-Atlantic horse mackerel-FaoRegion37,33434682.483
Lumped-Greater amberjack-FaoRegion37,32548143.901
Lumped-Atlantic mackerel-FaoRegion37,54531023.411
Lumped-Atlantic pomfret-FaoRegion37,596157.61
Lumped-Atlantic saury-FaoRegion37,191795.006
Lumped-Common dolphinfish-FaoRegion37,7381067.261
Lumped-European barracuda-FaoRegion37,2453754.701
Lumped-Leerfish-FaoRegion37,13962424.84
Lumped-Pilotfish-FaoRegion37,228238.911
Lumped-Bigeye scad-FaoRegion71,387024263.599
Lumped-Chub mackerel-FaoRegion71,18674783.646
Lumped-Cobia-FaoRegion71,7048640.405
Lumped-Common dolphinfish-FaoRegion71,9996601.351
Lumped-False trevally-FaoRegion71,24994470.149
Lumped-Indian mackerel-FaoRegion71,218249850.988
Lumped-Rainbow runner-FaoRegion71,37645197.613
Lumped-Short mackerel-FaoRegion71,392907660.633
Lumped-Torpedo scad-FaoRegion71,140135708.098
Lumped-Black pomfret-FaoRegion71,199880768.83
Lumped-Blackbanded trevally-FaoRegion71,14001637.909
Lumped-Indian scad-FaoRegion71,287039421.013
Lumped-Silver pomfret-FaoRegion71,115051991.189
Lumped-Blue mackerel-FaoRegion71,181405.453
Lumped-Great barracuda-FaoRegion71,134047606.751
Lumped-Pickhandle barracuda-FaoRegion71,2620122.179
Lumped-Yellowstripe scad-FaoRegion71,401910832.828
Lumped-Common dolphinfish-FaoRegion77,16359164.744
Lumped-Pacific jack mackerel-FaoRegion77,134210725.393
Lumped-Bigeye scad-FaoRegion77,640647.303
Lumped-Opah-FaoRegion77,4278538.322
Lumped-Rainbow runner-FaoRegion77,457.034
Lumped-Yellowtail amberjack-FaoRegion77,7219678.065
Lumped-Sickle pomfret-FaoRegion77,115129.031
Lumped-Chub mackerel-FaoRegion77,140682552.574
Lumped-Chub mackerel-FaoRegion87,3333739772.893
Lumped-Common dolphinfish-FaoRegion87,146185085.17
Lumped-Atlantic saury-FaoRegion87,7765051.788
Lumped-Chilean silverside-FaoRegion87,11503506.595
Lumped-Southern rays bream-FaoRegion87,124089134.414
Lumped-Pacific bumper-FaoRegion87,17408274.168
Lumped-Peruvian moonfish-FaoRegion87,346304.633
Lumped-Shortfin scad-FaoRegion87,13453308.249
Lumped-Atlantic mackerel-FaoRegion21,600331337.15
Lumped-Capelin-FaoRegion21,259305345.125
Lumped-Atlantic silverside-FaoRegion21,1073556.618
Lumped-American harvestfish-FaoRegion21,1077382.076
Lumped-Cobia-FaoRegion21,51879.693
Lumped-Common dolphinfish-FaoRegion21,411958.782
Lumped-Crevalle jack-FaoRegion21,1476.902
Lumped-Dealfish-FaoRegion21,6401.125
Lumped-Atlantic horse mackerel-FaoRegion27,743711679.563
Lumped-Garfish-FaoRegion27,33396973.439
Lumped-Atlantic pomfret-FaoRegion27,266587941.601
Lumped-Atlantic saury-FaoRegion27,2530276.885
Lumped-Bluefish-FaoRegion27,3554736.336
Lumped-Chub mackerel-FaoRegion27,133726413.733
