species,target,type,wt,faoreg,spcat,countries,lumpedstocks
Amsterdam albatross,target_species,1,1,57,36,NA,NA
Australian sea lion,Demersals,5,0.1,57,31,Australia,NA
Australian sea lion,Demersals,5,0.1,57,32,Australia,NA
Australian sea lion,Demersals,5,0.1,57,33,Australia,NA
Australian sea lion,Demersals,5,0.1,57,34,Australia,NA
Australian sea lion,Demersals,5,0.1,57,45,Australia,NA
Australian sea lion,Sharks,5,0.9,57,38,Australia,NA
Finless porpoise,target_species,1,1,61,31,NA,NA
Finless porpoise,target_species,1,1,61,32,NA,NA
Finless porpoise,target_species,1,1,61,33,NA,NA
Finless porpoise,target_species,1,1,61,34,NA,NA
Humpback dolphin,target_species,5,1,61,31,China,NA
Humpback dolphin,target_species,5,1,61,32,China,NA
Humpback dolphin,target_species,5,1,61,33,China,NA
Humpback dolphin,target_species,5,1,61,34,China,NA
Humpback dolphin,target_species,5,1,61,38,China,NA
Humpback dolphin,target_species,5,1,61,31,Taiwan Province of China,NA
Humpback dolphin,target_species,5,1,61,32,Taiwan Province of China,NA
Humpback dolphin,target_species,5,1,61,33,Taiwan Province of China,NA
Humpback dolphin,target_species,5,1,61,34,Taiwan Province of China,NA
Humpback dolphin,target_species,5,1,61,38,Taiwan Province of China,NA
Leatherback turtle,Demersals,6,0.84,77,31,NA,NA
Leatherback turtle,Demersals,6,0.84,77,32,NA,NA
Leatherback turtle,Demersals,6,0.84,77,33,NA,NA
Leatherback turtle,Demersals,6,0.84,77,34,NA,NA
Leatherback turtle,Demersals,6,0.84,77,45,NA,NA
Leatherback turtle,Tuna,6,0.16,77,36,NA,NA
Leatherback turtle,Tuna,6,0.16,87,36,NA,NA
Leatherback turtle,Tuna,6,0.16,77,38,NA,NA
Leatherback turtle,Tuna,6,0.16,87,38,NA,NA
Loggerhead turtle,Demersals,1,0.25,31,31,NA,NA
Loggerhead turtle,Demersals,1,0.25,31,33,NA,NA
Loggerhead turtle,Demersals,1,0.25,31,34,NA,NA
Loggerhead turtle,Tuna,1,0.07,21,36,NA,NA
Loggerhead turtle,Tuna,1,0.07,27,36,NA,NA
Loggerhead turtle,Tuna,1,0.07,31,36,NA,NA
Loggerhead turtle,Tuna,1,0.07,37,36,NA,NA
Loggerhead turtle,Tuna,1,0.07,21,38,NA,NA
Loggerhead turtle,Tuna,1,0.07,27,38,NA,NA
Loggerhead turtle,Tuna,1,0.07,31,38,NA,NA
Loggerhead turtle,Tuna,1,0.07,37,38,NA,NA
Loggerhead turtle,Shrimp,1,0.68,31,45,NA,NA
NZ sea lion,target_species,1,1,81,57,NA,NA
NZ sea lion,target_species,1,1,88,57,NA,NA
Olive ridley turtle (NEI),target_species,5,1,57,31,India,NA
Olive ridley turtle (NEI),target_species,5,1,57,32,India,NA
Olive ridley turtle (NEI),target_species,5,1,57,33,India,NA
Olive ridley turtle (NEI),target_species,5,1,57,34,India,NA
Olive ridley turtle (NEI),target_species,5,1,57,45,India,NA
Olive ridley turtle (NEI),target_species,5,1,57,31,Bangladesh,NA
Olive ridley turtle (NEI),target_species,5,1,57,32,Bangladesh,NA
Olive ridley turtle (NEI),target_species,5,1,57,33,Bangladesh,NA
Olive ridley turtle (NEI),target_species,5,1,57,34,Bangladesh,NA
Olive ridley turtle (NEI),target_species,5,1,57,45,Bangladesh,NA
Olive ridley turtle (NEI),target_species,5,1,57,31,Sri Lanka,NA
Olive ridley turtle (NEI),target_species,5,1,57,32,Sri Lanka,NA
Olive ridley turtle (NEI),target_species,5,1,57,33,Sri Lanka,NA
Olive ridley turtle (NEI),target_species,5,1,57,34,Sri Lanka,NA
Olive ridley turtle (NEI),target_species,5,1,57,45,Sri Lanka,NA
Olive ridley turtle (WI),target_species,1,1,51,31,NA,NA
Olive ridley turtle (WI),target_species,1,1,51,32,NA,NA
Olive ridley turtle (WI),target_species,1,1,51,33,NA,NA
Olive ridley turtle (WI),target_species,1,1,51,34,NA,NA
Olive ridley turtle (WI),target_species,1,1,51,45,NA,NA
White-chinned petrel,target_species_1,1,0.167,48,32,NA,NA
White-chinned petrel,target_species_1,1,0.167,58,32,NA,NA
White-chinned petrel,target_species_2,1,0.167,47,32,NA,NA
White-chinned petrel,target_species_3,1,0.167,41,32,NA,NA
White-chinned petrel,target_species_4,1,0.167,47,36,NA,NA
White-chinned petrel,target_species_5,1,0.167,41,36,NA,NA
White-chinned petrel,target_species_5,1,0.167,41,38,NA,NA
White-chinned petrel,target_species_6,1,0.167,71,36,NA,NA
White-chinned petrel,target_species_6,1,0.167,81,36,NA,NA
Sooty shearwater,target_species,1,1,61,36,NA,NA
Sooty shearwater,target_species,1,1,71,36,NA,NA
Sooty shearwater,target_species,1,1,81,36,NA,NA
Sooty shearwater,target_species,1,1,67,36,NA,NA
Sooty shearwater,target_species,1,1,77,36,NA,NA
Sooty shearwater,target_species,1,1,87,36,NA,NA
Sooty shearwater,target_species,1,1,21,36,NA,NA
Sooty shearwater,target_species,1,1,27,36,NA,NA
Sooty shearwater,target_species,1,1,31,36,NA,NA
Sooty shearwater,target_species,1,1,34,36,NA,NA
Sooty shearwater,target_species,1,1,41,36,NA,NA
Sooty shearwater,target_species,1,1,47,36,NA,NA
Sooty shearwater,target_species,1,1,48,36,NA,NA
Sooty shearwater,target_species,1,1,58,36,NA,NA
Sooty shearwater,target_species,1,1,88,36,NA,NA
Tristan albatross,target_species,1,1,41,36,NA,NA
Tristan albatross,target_species,1,1,47,36,NA,NA
Vaquita,Demersals,5,0.35,77,31,Mexico,NA
Vaquita,Demersals,5,0.35,77,32,Mexico,NA
Vaquita,Demersals,5,0.35,77,33,Mexico,NA
Vaquita,Demersals,5,0.35,77,34,Mexico,NA
Vaquita,Demersals,5,0.35,77,45,Mexico,NA
Vaquita,Totoaba,4,0.65,77,0,Mexico,totoaba
