"","Policy","IdOrig","Dbase","SciName","CommName","MSY","SpeciesCat","SpeciesCatName","BvBmsy","FvFmsy","current_b","current_f","b_mey","f_mey","current_b_mey","current_f_mey"
"1","Historic","ABARES-BGRDRSE-1960-2011-CHING","RAM","Macruronus novaezelandiae","Blue Grenadier Southeast Australia",6314.759787,32,"Cods, hakes, haddocks",1.72,0.778,1.72,0.778,1.25037461226575,0.771797267576988,1.37558775036488,1.00803673799272
"2","Historic","ADFG-HERRTOG-1990-2010-HIVELY","RAM","Clupea pallasii","Herring Togiak District",35032.6235475,35,"Herrings, sardines, anchovies",2.46,0.208,2.46,0.208,1.37265286486782,0.673633928365265,1.79215012255621,0.308773046073796
"3","Historic","AFSC-ALPLAICBSAI-1972-2010-STACHURA","RAM","Pleuronectes quadrituberculatus","Alaska plaice Bering Sea and Aleutian Islands",48033.6093937981,31,"Flounders, halibuts, soles",1.69,0.177,1.69,0.177,1.27076179617434,0.754904362958134,1.32991092830127,0.234466786370681
"4","Historic","AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","RAM","Reinhardtius stomias","Arrowtooth flounder Bering Sea and Aleutian Islands",63481.3402651177,31,"Flounders, halibuts, soles",2.50011387690351,0.0897,2.50011387690351,0.0897,1.26700501416507,0.758000625609724,1.97324702661183,0.118337633201617
"5","Historic","AFSC-ARFLOUNDGA-1958-2010-STACHURA","RAM","Atheresthes stomias","Arrowtooth flounder Gulf of Alaska",254271,31,"Flounders, halibuts, soles",2.50011387690351,0.0293316736078165,2.50011387690351,0.0293316736078165,1.21861228954714,0.798566812155242,2.05160730639981,0.0367303939524529
"6","Historic","AFSC-ATKABSAI-1976-2011-STACHURA","RAM","Pleurogrammus monopterygius","Atka mackerel Bering Sea and Aleutian Islands",76974.8684452846,33,"Miscellaneous coastal fishes",1.56,0.671,1.56,0.671,1.29583339076433,0.734429062331417,1.20385846754563,0.913634868791734
"7","Historic","AFSC-BKINGCRABPI-1960-2008-JENSEN","RAM","Paralithodes platypus","Blue king crab Pribilof Islands",1717.902056,44,"King crabs, squat-lobsters",0.0819,0,0.0819,0,1.29644502763722,0.733933588723059,0.0631727518360446,0
"8","Historic","AFSC-DSOLEGA-1978-2009-STACHURA","RAM","Microstomus pacificus","Dover sole Gulf of Alaska",3192.45606660822,31,"Flounders, halibuts, soles",2.50011387690351,0.0483,2.50011387690351,0.0483,1.26460505747644,0.759982525176689,1.97699183798345,0.0635540928901894
"9","Historic","AFSC-DUSROCKGA-1973-2010-STACHURA","RAM","Sebastes variabilis","Dusky rockfish Gulf of Alaska",2760.30253101124,34,"Miscellaneous demersal fishes",1.59,0.546,1.59,0.546,1.29251118431646,0.737123630718876,1.23016343633488,0.740716994064505
"10","Historic","AFSC-FLSOLEBSAI-1974-2010-STACHURA","RAM","Hippoglossoides elassodon","Flathead sole Bering Sea and Aleutian Islands",83321,31,"Flounders, halibuts, soles",2.04,0.166,2.04,0.166,1.21689362476728,0.800031405868488,1.67639961166707,0.207491854422635
"11","Historic","AFSC-FLSOLEGA-1978-2010-STACHURA","RAM","Hippoglossoides elassodon","Flathead sole Gulf of Alaska",28310.773921092,31,"Flounders, halibuts, soles",2.50011387690351,0.0513531052841694,2.50011387690351,0.0513531052841694,1.21754533345843,0.799475842018723,2.05340516545856,0.0642334672108413
"12","Historic","AFSC-GHALBSAI-1960-2009-STANTON","RAM","Reinhardtius hippoglossoides","Greenland turbot Bering Sea and Aleutian Islands",18763.452569345,31,"Flounders, halibuts, soles",1.46,0.0927188650898693,1.46,0.0927188650898693,1.21859671951275,0.798580072932958,1.19809940123897,0.11610465654288
"13","Historic","AFSC-NROCKBSAI-1974-2011-STACHURA","RAM","Sebastes polyspinis","Northern rockfish Bering Sea and Aleutian Islands",6848.1284467059,34,"Miscellaneous demersal fishes",1.6,0.29,1.6,0.29,1.29119613726474,0.738191790209365,1.23916108004275,0.392851835859283
"14","Historic","AFSC-NROCKGA-1959-2010-STACHURA","RAM","Sebastes polyspinis","Northern rockfish Gulf of Alaska",6070,34,"Miscellaneous demersal fishes",1.62,0.364065328370655,1.62,0.364065328370655,1.29406915724132,0.735859293823722,1.25186508845748,0.494748563246207
"15","Historic","AFSC-NRSOLEEBSAI-1975-2012-HIVELY","RAM","Lepidopsetta polyxystra","Northern rock sole Eastern Bering Sea and Aleutian Islands",259310,31,"Flounders, halibuts, soles",2.33,0.231,2.33,0.231,1.26778289701261,0.757358899129343,1.83785410379837,0.305007309302837
"16","Historic","AFSC-PCODBSAI-1964-2013-CHING","RAM","Gadus macrocephalus","Pacific cod Bering Sea and Aleutian Islands",256004.54856046,32,"Cods, hakes, haddocks",1.18,0.774,1.18,0.774,1.239509752532,0.78089147835459,0.951989282528489,0.991174857780353
