idorig,commname,sciname,country,g,phi,k,msy,marginalcost,speciescat,speciescatname,regionfao,policy,beta,fvfmsy,bvbmsy,catch,price,idoriglumped,lumpedcatch2012,fmeyvfmsy,bmeyvbmsy,fcsvfmsy,bcsvbmsy
10051-FAO-51-37,Cobia,Rachycentron canadum,Oman,0.111423714424553,0.188,1346.03813475351,59.9894949253633,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,128.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
10205-FAO-51-37,Cobia,Rachycentron canadum,Pakistan,0.111423714424553,0.188,34145.2017464426,1521.76476580199,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,3247.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
11726-FAO-51-37,Cobia,Rachycentron canadum,Qatar,0.111423714424553,0.188,1293.4585201147,57.6461552798413,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,123.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
12724-FAO-51-37,Cobia,Rachycentron canadum,Saudi Arabia,0.111423714424553,0.188,1577.38843916427,70.3001893656602,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,150.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
16269-FAO-51-37,Cobia,Rachycentron canadum,United Arab Emirates,0.111423714424553,0.188,4942.48377604805,220.273926679068,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,470.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
3324-FAO-51-37,Cobia,Rachycentron canadum,Eritrea,0.111423714424553,0.188,63.0955375665708,2.81200757462641,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,6.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
5802-FAO-51-37,Cobia,Rachycentron canadum,Iran,0.111423714424553,0.188,26090.004783777,1162.76513210802,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,2481.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
740-FAO-51-37,Cobia,Rachycentron canadum,Bahrain,0.111423714424553,0.188,63.0955375665708,2.81200757462641,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,6.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
7768-FAO-51-37,Cobia,Rachycentron canadum,Kuwait,0.111423714424553,0.188,315.477687832854,14.060037873132,11383908.4821698,37,Miscellaneous pelagic fishes,51,Historic,1.3,2.16436741483821,0.985833966025425,30.0,993.59553552,Lumped-Cobia-FaoRegion51,6641.0,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
10065-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,Oman,0.108180800080512,0.188,173256.770522584,7496.88093316487,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,8596.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
10221-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,Pakistan,0.108180800080512,0.188,414881.033554779,17952.0471298587,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,20584.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
12751-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,Saudi Arabia,0.108180800080512,0.188,79211.157300344,3427.49442384108,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,3930.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
13040-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,Seychelles,0.108180800080512,0.188,9452.93454805632,409.031777298083,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,469.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
14918-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,United Republic of Tanzania,0.108180800080512,0.188,83060.8598561622,3594.07239711173,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,4121.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
16281-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,United Arab Emirates,0.108180800080512,0.188,28620.8252840938,1238.43309970848,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,1420.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
17623-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,Yemen,0.108180800080512,0.188,296447.252308768,12827.3760778256,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,14708.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
3222-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,Egypt,0.108180800080512,0.188,43193.2595660654,1868.98741737696,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,2143.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
3334-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,Eritrea,0.108180800080512,0.188,0.0,0.0,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,0.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
5499-FAO-51-37,Indian mackerel,Rastrelliger kanagurta,India,0.108180800080512,0.188,974176.30172965,42152.948597331,195033755.849082,37,Miscellaneous pelagic fishes,51,Historic,1.3,1.75825575506661,0.652129348759885,48333.0,548.53890764,Lumped-Indian mackerel-FaoRegion51,106576.0,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
