species,grp,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe
Australian sea lion,mammal,Australia,20.8,12.5,34.6,pcostmey,0,0.06780222,1.2481303728999997,pinniped,0.9946,-0.0054,0.026
Australian sea lion,mammal,Australia,20.8,12.5,34.6,pctredmey,13.71141706,19.08895558,23.820820333749996,pinniped,0.9946,-0.0054,0.026
Australian sea lion,mammal,Australia,20.8,12.5,34.6,pctredmsy,-24.30406463,-16.42302134,-9.435671055,pinniped,0.9946,-0.0054,0.026
Australian sea lion,mammal,Australia,20.8,12.5,34.6,ycostmsy,2.1501587404749998,4.883804185000001,8.973349274725,pinniped,0.9946,-0.0054,0.026
ETS humpback dolphin,mammal,NW Pacific,38.5,23.1,64.1,pcostmey,0,1.6059884869999999,19.859010287749967,dolphin,0.975,-0.025,0.065
ETS humpback dolphin,mammal,NW Pacific,38.5,23.1,64.1,pctredmey,9.0721824125,30.855370354999998,47.625661534249986,dolphin,0.975,-0.025,0.065
ETS humpback dolphin,mammal,NW Pacific,38.5,23.1,64.1,pctredmsy,-31.596800695749998,0.7329270115,25.74302256374999,dolphin,0.975,-0.025,0.065
ETS humpback dolphin,mammal,NW Pacific,38.5,23.1,64.1,ycostmsy,0.39470440685,11.816132249999999,37.47058684425,dolphin,0.975,-0.025,0.065
Hector's dolphin,mammal,New Zealand,42.9,25.7,71.4,pcostmey,6.5134530724,19.80334568,41.81233360425,dolphin,0.97,-0.03,0.07
Hector's dolphin,mammal,New Zealand,42.9,25.7,71.4,pctredmey,-36.23911593625,-24.570665285,-12.78204555375001,dolphin,0.97,-0.03,0.07
Hector's dolphin,mammal,New Zealand,42.9,25.7,71.4,pctredmsy,-78.60349374874998,-63.40538594,-48.08664242625001,dolphin,0.97,-0.03,0.07
Hector's dolphin,mammal,New Zealand,42.9,25.7,71.4,ycostmsy,14.96475322325,31.18421752,52.968131160750005,dolphin,0.97,-0.03,0.07
Indo-Pacific finless porpoise,mammal,Indo-Pacific,20,12,33.3,pcostmey,0,0,0.011269652149999991,porpoise,0.99,-0.01,0.05
Indo-Pacific finless porpoise,mammal,Indo-Pacific,20,12,33.3,pctredmey,23.311365329,41.89564352,56.17661764299999,porpoise,0.99,-0.01,0.05
Indo-Pacific finless porpoise,mammal,Indo-Pacific,20,12,33.3,pctredmsy,-10.69965520825,16.919087474999998,38.25860253149999,porpoise,0.99,-0.01,0.05
Indo-Pacific finless porpoise,mammal,Indo-Pacific,20,12,33.3,ycostmsy,0,0.0348466925,4.131916038724992,porpoise,0.99,-0.01,0.05
Indo-Pacific humpback dolphin,mammal,Indo-Pacific,13,7.8,21.7,pcostmey,0,0,0,dolphin,0.994,-0.006,0.046
Indo-Pacific humpback dolphin,mammal,Indo-Pacific,13,7.8,21.7,pctredmey,30.631360570749997,48.100757540000004,60.69594613649999,dolphin,0.994,-0.006,0.046
Indo-Pacific humpback dolphin,mammal,Indo-Pacific,13,7.8,21.7,pctredmsy,0.05983843477500193,26.007233725,44.724818913,dolphin,0.994,-0.006,0.046
Indo-Pacific humpback dolphin,mammal,Indo-Pacific,13,7.8,21.7,ycostmsy,0,0,0.18250301964999974,dolphin,0.994,-0.006,0.046
Leatherback turtle (E Pacific),turtle,E Pacific,46.1,27.7,76.8,pcostmey,0,0,0.5123846786249996,turtle,0.846,-0.154,0.334
Leatherback turtle (E Pacific),turtle,E Pacific,46.1,27.7,76.8,pctredmey,65.85776796549999,69.97136312,72.316654262,turtle,0.846,-0.154,0.334
Leatherback turtle (E Pacific),turtle,E Pacific,46.1,27.7,76.8,pctredmsy,51.8629379295,57.64276726,60.88749891425,turtle,0.846,-0.154,0.334
Leatherback turtle (E Pacific),turtle,E Pacific,46.1,27.7,76.8,ycostmsy,0,0,1.2990960750249991,turtle,0.846,-0.154,0.334
Leatherback turtle (SW Indian),turtle,SW Indian Ocean,9.1,5.5,15.2,pcostmey,0,0,0,turtle,0.999,-0.001,0.011
Leatherback turtle (SW Indian),turtle,SW Indian Ocean,9.1,5.5,15.2,pctredmey,59.444801918,64.34554672,68.7198032195,turtle,0.999,-0.001,0.011
Leatherback turtle (SW Indian),turtle,SW Indian Ocean,9.1,5.5,15.2,pctredmsy,41.8347379065,48.87810406,55.017338061249994,turtle,0.999,-0.001,0.011
Leatherback turtle (SW Indian),turtle,SW Indian Ocean,9.1,5.5,15.2,ycostmsy,0,0,0,turtle,0.999,-0.001,0.011
Leatherback turtle (W Pacific),turtle,W Pacific,57.5,34.5,95.8,pcostmey,0,0,1.276747771249999,turtle,0.927,-0.073,0.127
Leatherback turtle (W Pacific),turtle,W Pacific,57.5,34.5,95.8,pctredmey,45.04893968625,53.146177955,59.872756051500005,turtle,0.927,-0.073,0.127
Leatherback turtle (W Pacific),turtle,W Pacific,57.5,34.5,95.8,pctredmsy,21.248359089,33.269238099999995,43.170935401,turtle,0.927,-0.073,0.127
Leatherback turtle (W Pacific),turtle,W Pacific,57.5,34.5,95.8,ycostmsy,0,0.0029800305,1.8803962833249939,turtle,0.927,-0.073,0.127
Loggerhead turtle (NW Atlantic),turtle,NW Atlantic,29.9,17.9,49.8,pcostmey,0,0,1.3499199758249996,turtle,0.98,-0.02,0.067
Loggerhead turtle (NW Atlantic),turtle,NW Atlantic,29.9,17.9,49.8,pctredmey,25.03594866475,38.846301325,49.622883933249994,turtle,0.98,-0.02,0.067
Loggerhead turtle (NW Atlantic),turtle,NW Atlantic,29.9,17.9,49.8,pctredmsy,-2.59194743375,16.226159425,30.85697783775,turtle,0.98,-0.02,0.067
Loggerhead turtle (NW Atlantic),turtle,NW Atlantic,29.9,17.9,49.8,ycostmsy,0,1.1455071905,7.6094179032749985,turtle,0.98,-0.02,0.067
Loggerhead turtle (NW Indian),turtle,NW Indian Ocean,47.2,28.3,78.7,pcostmey,0,0.037539964,9.369682345474969,turtle,0.958,-0.042,0.089
Loggerhead turtle (NW Indian),turtle,NW Indian Ocean,47.2,28.3,78.7,pctredmey,41.692499585,49.607676475000005,55.885208993499994,turtle,0.958,-0.042,0.089
Loggerhead turtle (NW Indian),turtle,NW Indian Ocean,47.2,28.3,78.7,pctredmsy,15.815260519999999,27.547141234999998,36.918551636249994,turtle,0.958,-0.042,0.089
Loggerhead turtle (NW Indian),turtle,NW Indian Ocean,47.2,28.3,78.7,ycostmsy,0,2.1542985255,28.687236255749994,turtle,0.958,-0.042,0.089
Loggerhead turtle (S Pacific),turtle,S Pacific,43.4,26,72.3,pcostmey,0,0,0.09923725332499997,turtle,0.964,-0.036,0.089
