species,pctredmsy025,pctredmsy25,pctredmsy50,pctredmsy75,pctredmsy975,pctredmey025,pctredmey25,pctredmey50,pctredmey75,pctredmey975,ycostmsy025,ycostmsy25,ycostmsy50,ycostmsy75,ycostmsy975,pcostmey025,pcostmey25,pcostmey50,pcostmey75,pcostmey975,region,grp,pctredbpt,pctredbl,pctredbu
Australian sea lion,-24.804604839397886,-18.969309758783357,-16.339679086016247,-13.9604023643132,-9.767447300418338,13.39606280619985,17.307862212132413,19.060687274226773,20.764553068705492,23.554425351282777,2.108219282035096,3.3957713154444455,5.017871830303004,6.940946893577161,9.079513316582062,0.0,0.0,0.08257938607101399,0.5052396726844315,1.2863407450872224,Australia,mammal,20.8,12.5,34.6
ETS humpback dolphin,-31.293787161992093,-10.035624663178819,0.02514922191054436,10.86561513455431,26.925790356809852,9.249122716223077,23.654925994945508,30.393323798106188,37.64544380103504,48.33605449552401,0.1964262875252383,5.592070242121119,12.173903174432247,20.74872830600741,36.35594404009875,0.0,0.012857895608906024,1.6981751618074101,6.84625543606627,18.63801932650865,NW Pacific,mammal,38.5,23.1,64.1
Indo-Pacific finless porpoise,-11.416780722776918,8.356693902048796,16.670942441947588,24.560798625521322,37.66642107490139,22.874927690836778,36.037556417139164,41.694313371023725,47.03245664323174,55.82001371950017,0.0,0.0,0.034305801251848185,0.4006224358303482,4.290679154546882,0.0,0.0,0.0,0.0,0.012047104514635835,Indo-Pacific,mammal,20.0,12.0,33.3
Indo-Pacific humpback dolphin,-0.1968363789898803,17.697459937327665,26.120618809937604,33.92146924657313,44.96523941080741,30.507332560665688,42.54463844329552,48.133063174391246,53.405215364362874,60.847562606043276,0.0,0.0,0.0,0.0,0.20618796975529594,0.0,0.0,0.0,0.0,0.0,Indo-Pacific,mammal,13.0,7.8,21.7
Leatherback turtle (E Pacific),52.70592609646458,56.45357129796238,57.67170923359066,58.76076370230081,60.66969752401127,66.42275470051858,69.09145734205036,69.97595505206894,70.78880278744727,72.14437388909161,0.0,0.0,0.0,0.1305637821461052,1.281025064985121,0.0,0.0,0.0,0.0,0.4841424603568159,E Pacific,turtle,46.1,27.7,76.8
Leatherback turtle (SW Indian Ocean),41.966016028096874,46.73165588056515,48.9721204769444,51.06929260740886,54.62300637188069,59.63454449135844,62.842767790665405,64.42953777553603,65.89351718259333,68.46326754918621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SW Indian Ocean,turtle,9.1,5.5,15.2
Leatherback turtle (W Pacific),21.55800416035886,29.724726561088936,33.406652820912825,37.108873814393796,42.796833689452924,45.35523608303117,50.76357171146804,53.27285211458894,55.76513351824035,59.58718263725306,0.0,0.0,5.195529207793279e-7,0.02467666058635075,0.2212949640228906,0.0,0.0,0.0,0.0,0.0,W Pacific,turtle,28.9,17.3,48.1
Loggerhead turtle (NW Atlantic),-3.1581832678063972,10.35074023642973,15.48744012424299,21.396622228787347,30.389666725253946,24.814882788225503,34.5366062779088,38.31815625193042,42.66998133665798,49.30986090817333,0.0,0.3001395580727291,1.1289051060291482,2.549111897893349,7.642098293568547,0.0,0.0,0.0,0.10226493825558611,1.3456263134869488,NW Atlantic,turtle,29.9,17.9,49.8
Loggerhead turtle (NW Indian Ocean),16.676481008872514,23.21629181351425,27.623985866676747,31.12520977647343,37.56404709896844,42.223654314084584,46.69103823465899,49.61923905795456,51.99307746781376,56.29458482148436,0.0,0.31675207461183646,2.3676978121755097,8.939139360899064,28.848875354153968,0.0,0.0,0.058588961026422304,1.247658275917169,9.625002118080014,NW Indian Ocean,turtle,47.2,28.3,78.7
Loggerhead turtle (S Pacific),44.290335665768396,46.37731329603497,47.327843956351856,48.345774682222995,50.32797867173455,59.818361650809905,61.39279100203376,62.174004805182435,62.912183647094054,64.43765497090135,0.0,0.0,0.0010496887044621336,0.03377264050367697,0.18589761833486376,0.0,0.0,0.0,0.0,0.11564893125593156,S Pacific,turtle,43.4,26.0,72.3
Narrow-ridged finless porpoise,-20.43577462826722,-1.3048156588744277,8.393210342561591,17.589091849779575,30.35754265589099,16.42579640504949,29.341644652596127,35.744712484986685,41.908709171192186,50.28276505231996,1.652240725912194,11.891545741614859,29.275189930655557,57.10823561460876,86.98856851035625,0.0,2.0842533340158647,13.033189796663336,39.951925589575744,82.8522357707152,NW Pacific,mammal,58.7,35.2,97.9
NZ sea lion,-237.62737532230125,-220.8636266948997,-214.24074516603613,-208.7350024315004,-201.81406461641484,-149.61156049415985,-137.38097014039766,-132.35389050718675,-128.18097239166738,-122.93654092989175,64.00279132142612,72.401221751374493,79.90888020884722,89.34345635940204,98.74129897880458,51.72380300086308,62.27546133199931,72.2212404746086,85.02517210198192,98.12695659238105,New Zealand,mammal,59.7,35.8,99.5
Olive ridley turtle (NE Indian Ocean),50.47388665774971,54.247345909879286,56.13754753935959,57.808997249979754,60.76196745004578,64.51675851103093,67.0418592815553,68.27530841267914,69.35326084539804,71.33545993649389,0.0,0.0,0.0,0.0,0.6000431976407395,0.0,0.0,0.0,0.0,0.0,NE Indian Ocean,turtle,38.5,23.1,64.1
Olive ridley turtle (W Indian Ocean),29.187291377586412,37.90578300875077,42.021915005127866,46.1671401618409,52.73758946929447,50.669534776016754,56.61880095765536,59.34754327222693,62.17437574191086,66.46911319275748,14.017398390472403,100.0,100.0,100.0,100.0,2.9995184835483695,100.0,100.0,100.0,100.0,W Indian Ocean,turtle,128.6,77.1,214.3
Sooty shearwater,-41.19718872749342,-34.061476370005956,-30.735035833483636,-27.28215511815569,-21.251124296062894,4.0749912011657035,8.896668980641628,11.128425103981181,13.45020217193505,17.497589088752186,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,"Atlantic, Pacific, S Indian Ocean, S Ocean",bird,600.0,360.0,1e3
Tristan albatross,28.56010957963839,40.133416694050034,43.79209918085569,46.37532517752461,50.008781318949545,49.9911399300627,57.77491619538091,60.328927380877424,62.09920475612864,64.65067579272731,2.9998163734885623,29.31175284336294,100.0,100.0,100.0,0.0,16.099223395997928,100.0,100.0,100.0,S Atlantic,bird,90.6,54.4,151.0
Vaquita porpoise,-35.339034122505524,-33.46043930635292,-32.95079929349066,-32.51764840129036,-31.731043940647343,-27.936510897356865,-26.609467792162054,-26.232069986652192,-25.89470226408228,-25.31810991482117,5.075871092919494,8.586107524534905,100.0,100.0,100.0,39.165621177206525,63.71477576086303,100.0,100.0,100.0,Gulf of California - Mexico,mammal,89.5,53.7,149.1
White-chinned petrel,-2.8610879279054853,7.022681789999809,11.928072864514988,16.149352822983083,23.727118186951117,26.982554469524942,33.82244771045825,37.14760737126557,39.96044955037906,44.8149701635997,3.316575673899621e-5,0.0960200403770761,0.4087180686872242,0.9446940008265854,2.2994372816062865,0.0,0.0,0.0,0.004437531425378148,0.35464379107667,"S Pacific, S Atlantic, S Indian, S Ocean",bird,27.7,16.6,46.1
