species,pctredmsy025,pctredmsy25,pctredmsy50,pctredmsy75,pctredmsy975,pctredmey025,pctredmey25,pctredmey50,pctredmey75,pctredmey975,ycostmsy025,ycostmsy25,ycostmsy50,ycostmsy75,ycostmsy975,pcostmey025,pcostmey25,pcostmey50,pcostmey75,pcostmey975,region,grp,pctredbpt,pctredbl,pctredbu
Australian sea lion,-24.145228854893478,-18.990268022186292,-16.42302133544035,-13.876732912097339,-9.312784890314221,13.854770596796001,17.31354522461136,19.060687274226773,20.906201703063065,23.77165316681436,2.209780673697798,3.450391654254917,4.895906376432873,6.7281113833667066,8.996344982079425,0.0,0.0,0.0693340501203348,0.4319247231061565,1.225733611845653,Australia,mammal,20.8,12.5,34.6
ETS humpback dolphin,-30.12637850846325,-9.745817718051482,0.6288504777549214,9.852364924687693,25.402020049992235,10.16711960623796,23.78027797550319,30.783822520710203,36.95111803134468,47.41793335715168,0.2778628645967629,5.890245067750222,11.680773996408238,20.837572769786618,36.99071906867447,0.0,0.025633495058877957,1.591559000000161,6.8596536900798295,19.219362407495474,NW Pacific,mammal,38.5,23.1,64.1
Indo-Pacific finless porpoise,-11.952987392432513,7.972183226860048,16.760567221165317,24.70511288279717,37.50672269957477,22.68135008007502,35.82436441611487,41.79357454441276,47.086655708525925,55.71915757562008,0.0,0.0,0.024874226930943204,0.39977742552341333,5.176561836668376,0.0,0.0,0.0,0.0,0.035123268981736254,Indo-Pacific,mammal,20.0,12.0,33.3
Indo-Pacific humpback dolphin,0.1293250859228117,18.17828251851447,26.318929651049,33.27447624783939,44.987077370113596,30.578716561498492,42.797020304281716,48.261144466426416,52.989910739241935,60.88590551616256,0.0,0.0,0.0,0.0,0.12395436983556146,0.0,0.0,0.0,0.0,0.0,Indo-Pacific,mammal,13.0,7.8,21.7
Leatherback turtle (E Pacific),51.80691762130041,56.36424222753929,57.687277384713255,58.858589017713754,60.7834151005452,65.82966080140422,69.0149408073385,69.97475932906484,70.83312724811114,72.24104204038659,0.0,0.0,0.0,0.17279029851560884,1.3996961964710328,0.0,0.0,0.0,0.0,0.6019423612125048,E Pacific,turtle,46.1,27.7,76.8
Leatherback turtle (SW Indian Ocean),42.30092942217023,46.69370609148844,48.935369256372965,50.987450195897026,54.52880949278066,59.755722125957874,62.79622282970188,64.40005123887674,65.83374767807345,68.35126592403077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SW Indian Ocean,turtle,9.1,5.5,15.2
Leatherback turtle (W Pacific),21.010192957914217,29.30739842395046,33.481521041590725,37.266061914426956,42.78675891385689,44.83674533861762,50.50124157340052,53.33662642009274,55.87773333457863,59.62313326429464,0.0,0.0,0.0,0.02714196357291422,0.24838327543223054,0.0,0.0,0.0,0.0,0.0,W Pacific,turtle,28.9,17.3,48.1
Loggerhead turtle (NW Atlantic),-3.1026123688664993,10.154650149522016,15.812191772214785,21.018028285471853,30.304566069678707,24.625681958743762,34.34432271417528,38.57638994154104,42.37166401059883,49.21815897647291,0.0,0.25367341189932047,1.1223475646536203,2.5935197398934138,7.057831030240841,0.0,0.0,0.0,0.09467654037107069,1.1480063381081174,NW Atlantic,turtle,29.9,17.9,49.8
Loggerhead turtle (NW Indian Ocean),16.67577822792815,24.119332906016815,27.280309849880673,30.86872240544351,37.10425642002136,42.42649284367572,47.226883138310406,49.391396060784054,51.82647072358256,56.0063271879567,7.124939305297255e-6,0.3743702909372927,2.5110053617581123,10.593877299810334,28.496835677957844,0.0,0.0,0.06738509362029182,1.7077659698361602,9.251361051345377,NW Indian Ocean,turtle,47.2,28.3,78.7
Loggerhead turtle (S Pacific),44.457879248959614,46.28774013286895,47.328547435425634,48.31486196970278,50.13200066328413,59.917555991748095,61.332090496803275,62.15785856870639,62.88476903150719,64.31015216298059,0.0,0.0,3.61782918035957e-4,0.030352500537199765,0.17196955109569045,0.0,0.0,0.0,0.0,0.09698323537098655,S Pacific,turtle,43.4,26.0,72.3
