species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pcostmey,0,0,0,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmey,20.866127182853,25.2417615575137,28.602092506064785,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmsy,-14.319451199813365,-8.358578224442867,-3.600774864280021,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,ycostmsy,2.241173192201257,2.8835386924678565,3.6059231570442685,pinniped,0.9946,-0.0054,0.026,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pcostmey,11.34679484348833,16.26960340618411,21.130711328758633,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmey,-40.93254043023294,-29.590715340317743,-18.00340989136149,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmsy,-84.91472688732959,-70.0083600517917,-54.76982796969134,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,ycostmsy,21.257634849732902,27.341377975242814,32.70993491863593,dolphin,0.986,-0.014,0.034,EN
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pcostmey,0,0,2.3555593340456488e-4,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmey,19.540208855627586,36.916357908236684,51.36860001920487,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmsy,-16.085006583380387,9.83598354330885,31.305080435794768,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,ycostmsy,0,0.10397784503232885,3.1494049895739797,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pcostmey,0,0,0,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pctredmey,24.627978758278974,43.21752674804628,56.314245975342885,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pctredmsy,-8.497184309587302,19.09819873168717,38.68933370428392,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,ycostmsy,0,0,0.3157888687663333,dolphin,0.994,-0.006,0.046,NT
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pcostmey,0,0,0,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pctredmey,67.60081214255845,71.50781001076032,73.68881371330463,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pctredmsy,54.53433691445818,60.14584890746642,63.110516381042295,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,ycostmsy,0,0,0,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,pcostmey,0,0.11149156435965908,0.8930209246748602,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,pctredmey,-10.955867182593913,2.105124429469909,13.354140107336889,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,pctredmsy,-45.35728846831896,-28.5389807242979,-14.050685212830297,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,ycostmsy,1.0802480919902282,2.3126166564392503,3.85149017281383,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,pcostmey,0,0.03884388201587105,0.4051155862483552,turtle,0.927,-0.073,0.127,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,pctredmey,44.3478077408127,52.926131349527125,59.74402272036654,turtle,0.927,-0.073,0.127,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,pctredmsy,20.401991106110312,33.11382932926847,43.27663833655054,turtle,0.927,-0.073,0.127,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,ycostmsy,0.15305177606239387,0.5112858585215746,1.211689170888847,turtle,0.927,-0.073,0.127,CR
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,pcostmey,0,0.001381960325717998,0.24199916255085904,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,pctredmey,16.30318433703202,29.005674962960263,38.9387701245731,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,pctredmsy,-14.779975600348592,2.599290257154448,16.225236856894437,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,ycostmsy,0.18368480292064998,0.7666185742069024,1.9375328246733516,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,pcostmey,0,0.008340025093698623,0.2012886312133509,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,pctredmey,35.564402646223826,44.840761712887115,51.940775981173864,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,pctredmsy,7.039453733355727,20.757462896133,31.33747886951976,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,ycostmsy,0.3820692248317406,1.0598078330872553,2.275732519035443,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pcostmey,0,0,0,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pctredmey,54.27735973027896,60.47210173128347,65.1829898550665,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pctredmsy,35.873522942731654,45.0873129572541,52.11737266281767,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,ycostmsy,0,0,0.009510560484633186,turtle,0.964,-0.036,0.083,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,pcostmey,32.85470083720255,38.463531661282104,43.335649427745096,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,pctredmey,-41.49663607745846,-29.4184090249829,-18.019980918137207,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,pctredmsy,-85.41280323283684,-69.7369105698078,-54.95476049656121,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,ycostmsy,44.747814103189725,49.99056262571903,54.444080566811216,dolphin,0.96,-0.04,0.06,CR
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pcostmey,1.1068588465814009,7.403793826110851,19.088086629014178,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pctredmey,10.038910824937373,31.40097262831305,48.43133881626502,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pctredmsy,-29.82940349896411,2.1783514850684504,27.345716578482456,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,ycostmsy,8.059025875475594,20.393721090493194,34.76535058458572,porpoise,0.943,-0.057,0.097,VU
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pcostmey,63.875132982138425,66.16647113627619,68.14561700809976,pinniped,0.96,-0.04,0.067,CR
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pctredmey,-150.3056800676931,-134.79703339222544,-124.88191061753368,pinniped,0.96,-0.04,0.067,CR
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pctredmsy,-238.16765436925868,-217.46463995220176,-204.3685306382324,pinniped,0.96,-0.04,0.067,CR
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,ycostmsy,73.05674789547419,75.40322733301971,77.31746221371873,pinniped,0.96,-0.04,0.067,CR
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,pcostmey,0,0,0,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,pctredmey,59.99449298765986,62.95295994066895,65.42161862110926,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,pctredmsy,44.14951766708671,48.69560195925372,52.492342897302954,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,ycostmsy,0,0,0,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.6,77.1,214.3,pcostmey,100,100,100,turtle,0.82,-0.18,0.14,VU
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.6,77.1,214.3,pctredmey,41.005366211732486,52.201865988405615,60.93430414184431,turtle,0.82,-0.18,0.14,VU
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.6,77.1,214.3,pctredmsy,16.695674369064726,32.74619733730606,45.378079306246114,turtle,0.82,-0.18,0.14,VU
