species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pcostmey,0,0.010646543855874378,0.2238761453608451,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmey,12.982336174484082,19.16940513285858,23.681393879518687,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmsy,-25.18036712038163,-16.384972201738996,-9.729514928810703,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,ycostmsy,3.2221344730613497,4.186012266706493,5.105752014861238,pinniped,0.9946,-0.0054,0.026,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pcostmey,9.793472895929872,14.79672136729879,19.39830416368916,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmey,-35.78323478582484,-24.597700943795132,-12.801010432612545,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmsy,-78.15309227494379,-63.48746333604318,-48.08971965909574,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,ycostmsy,19.541845946755444,25.536855620822788,30.777745932797124,dolphin,0.986,-0.014,0.034,EN
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pcostmey,0,0,0,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmey,21.976079028155954,41.596119585889156,55.51286863295645,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmsy,-12.462113191251532,16.475882974416166,37.25648343609009,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,ycostmsy,0,0.013195946507140073,2.7828261981238156,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pcostmey,0,0,0,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pctredmey,30.920938289493648,47.94730148709285,59.9182092573945,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pctredmsy,0.7810876871538442,25.907998379441402,44.11055643638947,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,ycostmsy,0,0,0.08306851131941964,dolphin,0.994,-0.006,0.046,NT
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pcostmey,0,0,0,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pctredmey,69.7843663748931,74.30500932172805,76.83842959184076,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pctredmsy,57.40481465536055,63.809580049486776,67.42186809264341,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,ycostmsy,0,0,0,turtle,0.846,-0.154,0.334,CR
