species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Australian sea lion,mammal,pinniped,Australia,47.33333333,pcostmey,0,17.767988895054017,100,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,pctredmey,12.05702586650438,14.180228615725849,16.277546150602998,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,pctredmsy,-5.854983490643032,-3.3325410965401634,-0.9236179845274174,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,ycostmsy,0,31.9217836202808,100,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pcostmey,7.268412275888286,33.46778758107678,57.64148957365151,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pctredmey,-15.40269345301668,-9.754850250007307,-3.1818756031492965,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pctredmsy,-32.193028679964875,-25.77935057509669,-18.572326346230902,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,ycostmsy,15.07511341560527,44.9518145829995,65.89082979102695,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pcostmey,0,17.897735595338922,75.34928917457262,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pctredmey,20.844863388204406,28.18998072754323,34.577993088051485,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
