species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pcostmey,0,0,0,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmey,21.20316584518144,25.337343397351447,28.97867877317489,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmsy,4.412619125354304,10.13836023786813,15.115744019272087,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,ycostmsy,0.3163223693082728,0.7229152106718999,1.22978437597153,pinniped,0.9946,-0.0054,0.026,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pcostmey,11.13081372931422,16.179792524846846,20.73034844689276,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmey,-40.79844309649825,-29.18134681043813,-18.250508873010176,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmsy,-43.336562636438266,-32.7811628547569,-22.454322186116432,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,ycostmsy,18.305425128229462,24.535641491771592,29.679176673497675,dolphin,0.986,-0.014,0.034,EN
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pcostmey,0,0,0,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmey,50.405418851984294,55.80048130527426,60.364935972748995,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmsy,38.49586317437342,44.11837823292623,48.73773710017493,porpoise,0.99,-0.01,0.05,VU
