species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pcostmey,10.231983743691897,11.78267335397393,12.948372821613157,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmey,-58.42495448148891,-49.431713255222085,-42.04436733977984,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmsy,-129.0304634952401,-116.64647121184518,-106.58120658298523,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,ycostmsy,22.545053179474206,24.77657416196031,26.78145390561227,pinniped,0.9946,-0.0054,0.026,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pcostmey,20.543210670766364,24.591133308153047,28.11462985746034,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmey,-70.39481608178217,-58.54930929681718,-47.9700983385627,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmsy,-123.8248692591072,-107.66675475187705,-93.82950032160653,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,ycostmsy,31.323576972572774,36.0676620667026,40.57902595036488,dolphin,0.986,-0.014,0.034,EN
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pcostmey,0.24926357072789335,4.48657331815824,16.439003187630682,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmey,-64.6541481059839,-24.07935125172297,3.2782508591717527,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmsy,-138.08971741624453,-77.34359340662141,-36.44910040541815,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,ycostmsy,4.377687429085132,14.145148376720458,29.568988372011614,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pcostmey,2.0290299299254127e-6,0.5485728948745883,6.850109536364975,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pctredmey,-44.740950710011994,-11.448129363190615,12.965244325323564,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,pctredmsy,-108.35459745676125,-58.46318673388546,-21.81462334561076,dolphin,0.994,-0.006,0.046,NT
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,13,7.8,21.7,ycostmsy,0.7397215829324945,5.359453554269563,16.30710813781266,dolphin,0.994,-0.006,0.046,NT
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pcostmey,0,0,0.006290478669232269,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pctredmey,43.12115344366508,51.24223090550767,55.4874101068328,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,pctredmsy,21.067211838741553,32.511591698364015,38.3228338381462,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.1,27.7,76.8,ycostmsy,0.014401491078509583,0.05072014383457939,0.23382688834088097,turtle,0.846,-0.154,0.334,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,pcostmey,0,0.42631046290023616,1.985364287935402,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,pctredmey,-13.10507899960267,-0.8623201067075402,10.120824128125683,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,pctredmsy,-48.381459914614524,-32.473634706678716,-18.475512326950682,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.1,5.5,15.2,ycostmsy,2.195758115929628,4.322996687950573,6.761969480753869,turtle,0.999,-0.001,0.011,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,pcostmey,4.579114997202948,13.826975577263324,31.605184765159628,turtle,0.927,-0.073,0.127,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,pctredmey,-3.7962015143121652,11.724797263843136,25.768537792774232,turtle,0.927,-0.073,0.127,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,pctredmsy,-47.951554412181196,-25.026063400502792,-4.287747944858648,turtle,0.927,-0.073,0.127,CR
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.5,34.5,95.8,ycostmsy,5.106498864921997,11.883301384536127,22.612813113368926,turtle,0.927,-0.073,0.127,CR
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,pcostmey,1.1979241486560324,2.5496194964228076,5.159663884644486,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,pctredmey,-21.44664799583763,-6.245193726930765,4.781552931583347,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,pctredmsy,-66.5409580109777,-45.58339167165424,-30.37817043849214,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,29.9,17.9,49.8,ycostmsy,6.436502215589611,15.786929668087964,32.53191601010352,turtle,0.98,-0.02,0.067,LC
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,pcostmey,2.9448564060355458,5.9269940619451065,12.612973208381385,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,pctredmey,-28.495824846058543,-10.136112467177139,3.3467163945977663,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,pctredmsy,-85.57010393833201,-58.34940163498159,-38.2085099828423,turtle,0.958,-0.042,0.089,CR
