species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pcostmey,0,0,0,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmey,25.40843640618198,28.696075256389523,30.88783448986122,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,pctredmsy,-7.897850743532789,-3.6444877381452936,-0.8089124012202964,pinniped,0.9946,-0.0054,0.026,EN
Australian sea lion,mammal,pinniped,Australia,20.8,12.5,34.6,ycostmsy,2.514644783798156,2.8167904416862672,3.062309254342671,pinniped,0.9946,-0.0054,0.026,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pcostmey,12.082183882164065,17.551016207114117,22.108051653124534,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmey,-43.674851042671996,-32.95988821457991,-21.18385390022421,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,pctredmsy,-88.62323870328999,-74.22002487698524,-58.77306491251461,dolphin,0.986,-0.014,0.034,EN
Hector's dolphin,mammal,cetacean,New Zealand,41.2,24.7,68.6,ycostmsy,22.390611715254664,28.668617987188384,33.55878878760714,dolphin,0.986,-0.014,0.034,EN
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pcostmey,0,0,0.16711889945816702,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmey,12.54091286330989,32.172905634475555,48.277340507836456,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,pctredmsy,-26.187249179747123,2.859764711260838,26.981101407023075,porpoise,0.99,-0.01,0.05,VU
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,20,12,33.3,ycostmsy,0,0.6366800402492072,6.354662278684103,porpoise,0.99,-0.01,0.05,VU
