species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Australian sea lion,mammal,pinniped,Australia,47.33333333,pcostmey,0,4.468588300561334,100,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,pctredmey,21.09178858512105,25.2417615575137,29.012314052702646,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,pctredmsy,-13.948403464563643,-8.386703300061416,-3.1665857666350212,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,ycostmsy,0,14.791645016793133,100,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pcostmey,9.225194139160322,22.8666350407892,41.90655015087709,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pctredmey,-40.84400698234419,-29.27523215030182,-17.393342476859235,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pctredmsy,-84.7773412519372,-69.49009330452199,-54.2781286426979,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,ycostmsy,19.068434895497134,34.60329239765464,53.10582604839172,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pcostmey,0,7.335264097756744,59.08526651404007,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pctredmey,17.28478103569543,36.47186918583235,52.20767627307149,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
