IdOrig,IdOrigLumped,LumpedCatch2012
10051-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
10205-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
11726-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
12724-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
16269-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
3324-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
5802-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
740-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
7768-FAO-51-37,Lumped-Cobia-FaoRegion51,6641
10065-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
10221-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
12751-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
13040-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
14918-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
16281-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
17623-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
3222-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
3334-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
5499-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
5813-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,106576
10199-FAO-51-37,Lumped-Black pomfret-FaoRegion51,8272
5797-FAO-51-37,Lumped-Black pomfret-FaoRegion51,8272
7764-FAO-51-37,Lumped-Black pomfret-FaoRegion51,8272
10206-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,4287
12483-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,4287
13310-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,4287
16270-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,4287
5803-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,4287
10211-FAO-51-37,Lumped-False trevally-FaoRegion51,7375
5481-FAO-51-37,Lumped-False trevally-FaoRegion51,7375
10251-FAO-51-37,Lumped-Torpedo scad-FaoRegion51,3359
12816-FAO-51-37,Lumped-Torpedo scad-FaoRegion51,3359
16311-FAO-51-37,Lumped-Torpedo scad-FaoRegion51,3359
11729-FAO-51-37,Lumped-Flat needlefish-FaoRegion51,9
11731-FAO-51-37,Lumped-Giant trevally-FaoRegion51,14146
12737-FAO-51-37,Lumped-Giant trevally-FaoRegion51,14146
5808-FAO-51-37,Lumped-Giant trevally-FaoRegion51,14146
11733-FAO-51-37,Lumped-Golden trevally-FaoRegion51,1195
12738-FAO-51-37,Lumped-Golden trevally-FaoRegion51,1195
16275-FAO-51-37,Lumped-Golden trevally-FaoRegion51,1195
747-FAO-51-37,Lumped-Golden trevally-FaoRegion51,1195
11740-FAO-51-37,Lumped-Malabar trevally-FaoRegion51,390
12761-FAO-51-37,Lumped-Malabar trevally-FaoRegion51,390
12709-FAO-51-37,Lumped-Bigeye trevally-FaoRegion51,150
12716-FAO-51-37,Lumped-Bluefin trevally-FaoRegion51,38
12731-FAO-51-37,Lumped-Doublespotted queenfish-FaoRegion51,27
12741-FAO-51-37,Lumped-Great barracuda-FaoRegion51,1120
12748-FAO-51-37,Lumped-Hound needlefish-FaoRegion51,130
12752-FAO-51-37,Lumped-Indian scad-FaoRegion51,1250
12767-FAO-51-37,Lumped-Needlescaled queenfish-FaoRegion51,270
12768-FAO-51-37,Lumped-Obtuse barracuda-FaoRegion51,150
12772-FAO-51-37,Lumped-Orangespotted trevally-FaoRegion51,2140
16294-FAO-51-37,Lumped-Orangespotted trevally-FaoRegion51,2140
12779-FAO-51-37,Lumped-Pickhandle barracuda-FaoRegion51,68
12791-FAO-51-37,Lumped-Shrimp scad-FaoRegion51,200
12793-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,2728
5836-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,2728
5867-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,2728
7782-FAO-51-37,Lumped-Silver pomfret-FaoRegion51,2728
12801-FAO-51-37,Lumped-Snubnose pompano-FaoRegion51,60
12812-FAO-51-37,Lumped-Talang queenfish-FaoRegion51,15337
5846-FAO-51-37,Lumped-Talang queenfish-FaoRegion51,15337
790-FAO-51-37,Lumped-Talang queenfish-FaoRegion51,15337
12832-FAO-51-37,Lumped-Yellowspotted trevally-FaoRegion51,190
12834-FAO-51-37,Lumped-Yellowtail scad-FaoRegion51,1350
13308-FAO-51-37,Lumped-Chub mackerel-FaoRegion51,840
3200-FAO-51-37,Lumped-Chub mackerel-FaoRegion51,840
7274-FAO-51-37,Lumped-Chub mackerel-FaoRegion51,840
5815-FAO-51-37,Lumped-Indian pompano-FaoRegion51,799
1015-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
11950-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
12835-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
13090-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
15109-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
15458-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
15751-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
2322-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
4780-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
7969-FAO-34-37,Lumped-African moonfish-FaoRegion34,2504
1019-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
11985-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
12843-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
13096-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
15789-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
2325-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
2848-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
4786-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
8119-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
9318-FAO-34-37,Lumped-Atlantic bumper-FaoRegion34,17788
1034-FAO-34-37,Lumped-Common dolphinfish-FaoRegion34,466
11103-FAO-34-37,Lumped-Common dolphinfish-FaoRegion34,466
12870-FAO-34-37,Lumped-Common dolphinfish-FaoRegion34,466
13696-FAO-34-37,Lumped-Common dolphinfish-FaoRegion34,466
15129-FAO-34-37,Lumped-Common dolphinfish-FaoRegion34,466
7992-FAO-34-37,Lumped-Common dolphinfish-FaoRegion34,466
10706-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
11062-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
11795-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
12040-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
12860-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
1334-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
13641-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
15508-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
15833-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
4343-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
4531-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
4888-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
7817-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
8146-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
8673-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
9051-FAO-34-37,Lumped-Bluefish-FaoRegion34,5856
10780-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
11267-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
11860-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
12208-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
12689-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
12905-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
13898-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
1404-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
15596-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
2874-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
4635-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
6304-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
7874-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
8217-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
9392-FAO-34-37,Lumped-Leerfish-FaoRegion34,773
10958-FAO-34-37,Lumped-Atlantic pomfret-FaoRegion34,744
12000-FAO-34-37,Lumped-Atlantic pomfret-FaoRegion34,744
13526-FAO-34-37,Lumped-Atlantic pomfret-FaoRegion34,744
15802-FAO-34-37,Lumped-Atlantic pomfret-FaoRegion34,744
7806-FAO-34-37,Lumped-Atlantic pomfret-FaoRegion34,744
8129-FAO-34-37,Lumped-Atlantic pomfret-FaoRegion34,744
11035-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
12031-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
13615-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
15501-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
15826-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
2330-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
2856-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
7982-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
8672-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
9778-FAO-34-37,Lumped-Blue butterfish-FaoRegion34,7779
11831-FAO-34-37,Lumped-False scad-FaoRegion34,1423
4351-FAO-34-37,Lumped-False scad-FaoRegion34,1423
4816-FAO-34-37,Lumped-False scad-FaoRegion34,1423
8000-FAO-34-37,Lumped-False scad-FaoRegion34,1423
12680-FAO-34-37,Lumped-Crevalle jack-FaoRegion34,6688
4807-FAO-34-37,Lumped-Crevalle jack-FaoRegion34,6688
12696-FAO-34-37,Lumped-Rainbow runner-FaoRegion34,53
15160-FAO-34-37,Lumped-Rainbow runner-FaoRegion34,53
12839-FAO-34-37,Lumped-Alexandria pompano-FaoRegion34,287
4340-FAO-34-37,Lumped-Alexandria pompano-FaoRegion34,287
10290-FAO-37-37,Lumped-Bluefish-FaoRegion37,8746
11796-FAO-37-37,Lumped-Bluefish-FaoRegion37,8746
1336-FAO-37-37,Lumped-Bluefish-FaoRegion37,8746
13643-FAO-37-37,Lumped-Bluefish-FaoRegion37,8746
15257-FAO-37-37,Lumped-Bluefish-FaoRegion37,8746
15343-FAO-37-37,Lumped-Bluefish-FaoRegion37,8746
